Building, Road, Heading, Indoors
47.36988 8.54602, 47.36995 8.54596, 499.39870535475603, 0
47.37004 8.546, 47.36999 8.54605, 315.0000000010178, 0
47.36991 8.54609, 47.36998 8.54603, 499.39870535559425, 0
47.36993 8.54615, 47.37 8.54609, 499.39870535475603, 0
47.36998 8.54621, 47.37 8.54626, 248.1985905143501, 0
47.36965 8.54552, 47.36963 8.54548, 423.4349488239398, 0
47.36989 8.54561, 47.36983 8.54567, 314.99999999915184, 0
47.36938 8.54561, 47.36947 8.54564, 198.43494882326127, 0
47.36962 8.54579, 47.36953 8.54559, 425.7722546819612, 0
47.36944 8.54576, 47.36947 8.54564, 464.03624346912386, 0
47.36965 8.54585, 47.36983 8.54568, 496.63657704184914, 0
47.3695 8.54586, 47.36947 8.54564, 442.23483398091406, 0
